Power,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
0.01,565.5,565.5,565.5,565.5,565.5,565.5,565.5,565.5,565.5,565.5
0.1,391.5,391.5,391.5,391.5,391.5,391.5,391.5,391.5,391.5,391.5
0.2,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5
0.3,282.75,282.75,282.75,282.75,282.75,282.75,282.75,282.75,282.75,282.75
0.4,274.05,274.05,274.05,274.05,274.05,274.05,274.05,274.05,274.05,274.05
0.5,271.15,271.15,271.15,271.15,271.15,271.15,271.15,271.15,271.15,271.15
0.6,268.25,268.25,268.25,268.25,268.25,268.25,268.25,268.25,268.25,268.25
0.7,265.35,265.35,265.35,265.35,265.35,265.35,265.35,265.35,265.35,265.35
0.75,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9
0.8,268.25,268.25,268.25,268.25,268.25,268.25,268.25,268.25,268.25,268.25
0.9,269,269,269,269,269,269,269,269,269,269
1.0,270,270,270,270,270,270,270,270,270,270
